fusion,#_occurences,labs_found_in,cells_found_in
AL391840.3--SH3BGRL2,24,"['ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['NCI-H510A', 'Set-2', 'SW948', 'YAPC', 'SR', 'SW1573', 'SNU-C1', 'C2BBe1', 'KU812', 'NCI-H510A', 'HCT-15', 'YAPC', 'SNU-C1', 'U-266', 'C2BBe1', 'SUIT-2', 'KU812', 'NCI-H510A', 'KNS-62', 'YAPC', 'SW1573', 'SW780', 'C2BBe1', 'KU812']"
AC068756.1--AC108690.1,9,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['SW620', 'COLO-741', 'NCI-H510A', 'SW620', 'KNS-62', 'NCI-H510A', 'SW620', 'HCC1806', 'KNS-62']"
AL353138.1--PTCHD4,9,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc', 'gdsc']","['MDST8', 'SW1573', 'CL-40', 'MDST8', 'SW1573', 'HCT-116', 'MDST8', 'SW1573', 'CL-40']"
AC004009.1--AC007130.1,8,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc', 'gdsc']","['HT-115', 'CL-40', 'HT-115', 'YAPC', 'CL-40', 'HT-115', 'YAPC', 'CL-40']"
AC006453.1--FAM230C,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'KARPAS-620', 'NCI-H510A', 'KARPAS-620', 'U-266', 'NCI-H510A', 'KARPAS-620']"
AC073529.1--MID1,7,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'HT55', 'SW837', 'NCI-H510A', 'SW1573', 'SW48', 'NCI-H510A']"
AC011586.2--MSR1,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW837', 'NCI-H510A', 'KNS-62', 'NCI-H510A', 'U-266', 'NCI-H510A', 'KNS-62']"
CNRIP1--AC017083.3,7,"['ccle', 'ccle', 'ccle', 'gcsi', 'gcsi', 'gcsi', 'gdsc']","['NCI-H510A', 'Set-2', 'KU812', 'NCI-H510A', 'Set-2', 'KU812', 'Set-2']"
AKAP13--PDE8A,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['SW620', 'HCC1187', 'SW620', 'HCC1187', 'SW620', 'HCC1187']"
PLXND1--TMCC1,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'HCC1187', 'NCI-H510A', 'HCC1187', 'NCI-H510A', 'HCC1187']"
CASC19--CASC8,6,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['HCT-15', 'HT-115', 'HCT-15', 'HT-115', 'HCT-15', 'HT-115']"
CU104787.1--BAGE2,6,"['ccle', 'ccle', 'ccle', 'gcsi', 'gdsc', 'gdsc']","['NCI-H510A', 'MDA-MB-361', 'KARPAS-620', 'NCI-H510A', 'NCI-H510A', 'HCC1806']"
AL133342.1--PREX1,5,"['ccle', 'gcsi', 'gcsi', 'gdsc', 'gdsc']","['KARPAS-620', 'HCC1806', 'KARPAS-620', 'HCC1806', 'KARPAS-620']"
AC106741.1--AC106729.1,5,"['ccle', 'ccle', 'gcsi', 'gcsi', 'gdsc']","['KARPAS-620', 'COLO-741', 'KARPAS-620', 'U-266', 'KARPAS-620']"
MTMR3--APOH,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HT-29', 'HT-29', 'HT-29', 'HT-29']"
MGRN1--C16orf96,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-15', 'HCT-15', 'HCT-15', 'HCT-15']"
COMMD10--AP3S1,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-116', 'HCT-116', 'HCT-116', 'HCT-116']"
PANK2--MAVS,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['HCT-116', 'HCT-116', 'HCT-116', 'HCT-116']"
RTRAF--SLC25A21,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']"
UBE2L3--KRAS,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']"
LDLR--RPL31P11,4,"['ccle', 'gcsi', 'gdsc', 'nci60']","['DU-145', 'DU-145', 'DU-145', 'DU-145']"
CASC19--AC018714.2,4,"['ccle', 'ccle', 'gcsi', 'gdsc']","['HCT-15', 'HT-115', 'HT-115', 'HT-115']"
USP32--CWC25,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
DDX5--DEPTOR,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
DDX5--AP005717.2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
PRKDC--AC111149.2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
MYO18A--AF228727.1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
BCAS3--HOXB9,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
TAOK1--PCGF2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
PLEC--ENPP2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
PPM1D--TRAPPC9,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
TRPS1--LASP1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
HYLS1--TIMM23,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
DDX5--AC233699.1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
CENPO--RAB10,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
HOXC6--AC023794.1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
PPP1R16A--ZFPM2-AS1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
TAOK1--LINC02071,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
SRCIN1--AC233699.1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
NFE2L1--TOP1MT,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
ZMYM4--OPRD1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
AC068025.2--PCGF2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
PPM1D--RAD54B,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
ZFPM2-AS1--SLC13A2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
BCAS3--TMEM71,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
AC124319.1--TACC1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
ERBB2--BCAS3,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
USP32--SMURF2,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
PHF20L1--AC068413.1,3,"['ccle', 'gcsi', 'gdsc']","['ZR-75-30', 'ZR-75-30', 'ZR-75-30']"
MEGF6--PLCH2,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']"
VEGFA--KIF6,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']"
SIM2--RIPPLY3,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']"
TFEB--TRERF1,3,"['ccle', 'gcsi', 'gdsc']","['YAPC', 'YAPC', 'YAPC']"
TP53BP1--PSMA4,3,"['ccle', 'gcsi', 'gdsc']","['WSU-DLCL2', 'WSU-DLCL2', 'WSU-DLCL2']"
HDGF--S100A10,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
WIPF2--ERBB2,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
PRPF3--SRGAP2,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
RRNAD1--CTSS,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
LASP1--CSF3,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
PPP1R12B--SNX27,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
NBPF26--AC239809.1,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
WARS2--AKT3,3,"['ccle', 'gcsi', 'gdsc']","['UACC-812', 'UACC-812', 'UACC-812']"
COX16--TMEM106B,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']"
ARFIP1--FNDC3B,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']"
FNDC3B--ARFIP1,3,"['ccle', 'gcsi', 'gdsc']","['U-266', 'U-266', 'U-266']"
FO393400.1--NOL4L,3,"['ccle', 'gcsi', 'gdsc']","['Set-2', 'Set-2', 'Set-2']"
USP12--LINC02340,3,"['ccle', 'gcsi', 'gdsc']","['SW948', 'SW948', 'SW948']"
RBM12B--RAD54B,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']"
ANKRD13C--PTGER3,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']"
SPRED2--RAB1A,3,"['ccle', 'gcsi', 'gdsc']","['SW837', 'SW837', 'SW837']"
AC124319.1--BAIAP2,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']"
FGFR3--BAIAP2L1,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']"
GSN--NMRK1,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']"
RABGAP1--PCSK5,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']"
CCDC18-AS1--EVI5,3,"['ccle', 'gcsi', 'gdsc']","['SW780', 'SW780', 'SW780']"
CDH13--AC073968.2,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']"
NSD1--ZNF346,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']"
ARNTL2--AC010197.1,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']"
USP45--FAXC,3,"['ccle', 'gcsi', 'gdsc']","['SW620', 'SW620', 'SW620']"
ARRDC1--EHMT1,3,"['ccle', 'gcsi', 'gdsc']","['SW48', 'SW48', 'SW48']"
DNAJC3--VWA8,3,"['ccle', 'gcsi', 'gdsc']","['SW403', 'SW403', 'SW403']"
NEAT1--LTBP3,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
TCF7L1--TMSB10,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
LARP4B--TSPAN33,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
SMURF2--DDX5,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
LINC02643--NEBL,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
ME2--DCC,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
IL1RAPL1--AC005185.1,3,"['ccle', 'gcsi', 'gdsc']","['SW1573', 'SW1573', 'SW1573']"
LRR1--RPL36AL,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']"
RPL36AL--LRR1,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']"
ATP5F1A--SNTG1,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']"
ARHGAP35--VRK3,3,"['ccle', 'gcsi', 'gdsc']","['SW1463', 'SW1463', 'SW1463']"
HNF4A--R3HDML,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']"
TUBA1C--ENDOV,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']"
ROCK2--E2F6,3,"['ccle', 'gcsi', 'gdsc']","['SUIT-2', 'SUIT-2', 'SUIT-2']"
PVT1--ZCCHC7,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']"
POU2F2--FRG1KP,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']"
ICMT--SZRD1,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-6', 'SU-DHL-6', 'SU-DHL-6']"
THOC2--MTSS1,3,"['ccle', 'gcsi', 'gdsc']","['SU-DHL-10', 'SU-DHL-10', 'SU-DHL-10']"
NPM1--ALK,3,"['ccle', 'gcsi', 'gdsc']","['SR', 'SR', 'SR']"
APIP--SLC1A2,3,"['ccle', 'gcsi', 'gdsc']","['SNU-C1', 'SNU-C1', 'SNU-C1']"
